equipment_id,equipment_type,manufacturer,model,purchase_year,fuel_capacity_liters,expected_engine_hours_per_day,expected_idle_hours_per_day,expected_fuel_per_engine_hour
EQX1001,Drill_Rig,Sandvik,DX800,2019,400,8.5,4.0,16
EQX1002,Grader,Caterpillar,140M,2016,350,7.0,5.0,14
EQX1003,Drill_Rig,Sandvik,SmartRoc,2015,400,8.5,4.0,16
EQX1004,Excavator,Caterpillar,330,2018,400,8.0,4.0,18
EQX1005,Generator,Cummins,C220D5,2023,500,12.0,2.0,8
EQX1006,Snow_Remover,Caterpillar,SR100,2024,300,6.0,3.0,12
EQX1007,Loader,Caterpillar,950,2021,450,8.5,4.5,20
EQX1008,Dump_Truck,Volvo,770,2018,900,9.0,3.5,30
EQX1009,Dump_Truck,Caterpillar,770,2021,900,9.0,3.5,30
EQX1010,Bulldozer,Komatsu,D9,2024,550,7.5,5.0,22
EQX1011,Loader,Caterpillar,L120,2022,450,8.5,4.5,20
EQX1012,Generator,Cummins,XQ2000,2016,500,12.0,2.0,8
EQX1013,Generator,Caterpillar,XQ2000,2024,500,12.0,2.0,8
EQX1014,Grader,Caterpillar,140M,2018,350,7.0,5.0,14
EQX1015,Loader,Caterpillar,950,2016,450,8.5,4.5,20
EQX1016,Snow_Remover,Vammas,SR100,2020,300,6.0,3.0,12
EQX1017,Crane,Tadano,GT800,2018,600,6.0,6.0,15
EQX1018,Drill_Rig,Atlas_Copco,DX800,2024,400,8.5,4.0,16
EQX1019,Drill_Rig,Sandvik,DX800,2017,400,8.5,4.0,16
EQX1020,Concrete_Mixer,Oshkosh,S-Series,2023,250,5.0,4.0,10
EQX1021,Grader,Volvo,140M,2018,350,7.0,5.0,14
EQX1022,Excavator,Komatsu,EC210,2019,400,8.0,4.0,18
EQX1023,Bulldozer,Caterpillar,D9,2018,550,7.5,5.0,22
EQX1024,Drill_Rig,Atlas_Copco,SmartRoc,2022,400,8.5,4.0,16
EQX1025,Crane,Tadano,LTM1050,2018,600,6.0,6.0,15
EQX1026,Generator,Caterpillar,XQ2000,2024,500,12.0,2.0,8
EQX1027,Snow_Remover,Vammas,PS360,2017,300,6.0,3.0,12
EQX1028,Generator,Caterpillar,C220D5,2015,500,12.0,2.0,8
EQX1029,Bulldozer,Caterpillar,D8,2021,550,7.5,5.0,22
EQX1030,Compactor,Caterpillar,BW213,2021,280,7.0,5.0,12
EQX1031,Compactor,Bomag,BW213,2023,280,7.0,5.0,12
EQX1032,Excavator,Volvo,320,2023,400,8.0,4.0,18
EQX1033,Loader,JCB,WA380,2016,450,8.5,4.5,20
EQX1034,Loader,Komatsu,950,2022,450,8.5,4.5,20
EQX1035,Excavator,Volvo,PC200,2023,400,8.0,4.0,18
EQX1036,Crane,Grove,LTM1050,2019,600,6.0,6.0,15
EQX1037,Drill_Rig,Sandvik,DX800,2020,400,8.5,4.0,16
EQX1038,Crane,Grove,TR250,2015,600,6.0,6.0,15
EQX1039,Compactor,Bomag,BW213,2015,280,7.0,5.0,12
EQX1040,Bulldozer,Komatsu,D9,2018,550,7.5,5.0,22
EQX1041,Excavator,Caterpillar,320,2016,400,8.0,4.0,18
EQX1042,Concrete_Mixer,McNeilus,Bridgemaster,2017,250,5.0,4.0,10
EQX1043,Drill_Rig,Atlas_Copco,DX800,2019,400,8.5,4.0,16
EQX1044,Generator,Caterpillar,C220D5,2023,500,12.0,2.0,8
EQX1045,Grader,Volvo,G940,2020,350,7.0,5.0,14
EQX1046,Concrete_Mixer,Oshkosh,Bridgemaster,2018,250,5.0,4.0,10
EQX1047,Grader,Caterpillar,G940,2015,350,7.0,5.0,14
EQX1048,Compactor,Caterpillar,CS56B,2015,280,7.0,5.0,12
EQX1049,Bulldozer,Caterpillar,D8,2016,550,7.5,5.0,22
EQX1050,Excavator,Komatsu,320,2023,400,8.0,4.0,18
EQX1051,Grader,Volvo,G780,2022,350,7.0,5.0,14
EQX1052,Grader,Caterpillar,G780,2024,350,7.0,5.0,14
EQX1053,Compactor,Bomag,CS56B,2022,280,7.0,5.0,12
EQX1054,Snow_Remover,Caterpillar,PS360,2016,300,6.0,3.0,12
EQX1055,Drill_Rig,Atlas_Copco,SmartRoc,2021,400,8.5,4.0,16
EQX1056,Snow_Remover,Vammas,PS360,2016,300,6.0,3.0,12
EQX1057,Excavator,Komatsu,PC200,2016,400,8.0,4.0,18
EQX1058,Grader,Caterpillar,140M,2023,350,7.0,5.0,14
EQX1059,Concrete_Mixer,McNeilus,S-Series,2017,250,5.0,4.0,10
EQX1060,Loader,Komatsu,950,2016,450,8.5,4.5,20
EQX1061,Concrete_Mixer,McNeilus,Bridgemaster,2023,250,5.0,4.0,10
EQX1062,Excavator,Caterpillar,330,2017,400,8.0,4.0,18
EQX1063,Snow_Remover,Vammas,SR100,2018,300,6.0,3.0,12
EQX1064,Snow_Remover,Caterpillar,PS360,2021,300,6.0,3.0,12
EQX1065,Excavator,Komatsu,PC200,2022,400,8.0,4.0,18
EQX1066,Loader,Komatsu,L120,2023,450,8.5,4.5,20
EQX1067,Drill_Rig,Atlas_Copco,DX800,2018,400,8.5,4.0,16
EQX1068,Loader,Caterpillar,950,2024,450,8.5,4.5,20
EQX1069,Generator,Cummins,XQ2000,2015,500,12.0,2.0,8
EQX1070,Excavator,Volvo,EC210,2023,400,8.0,4.0,18
EQX1071,Generator,Cummins,C220D5,2023,500,12.0,2.0,8
EQX1072,Bulldozer,Caterpillar,D6,2024,550,7.5,5.0,22
EQX1073,Bulldozer,Caterpillar,D65,2016,550,7.5,5.0,22
EQX1074,Compactor,Caterpillar,CS56B,2024,280,7.0,5.0,12
EQX1075,Bulldozer,Komatsu,D9,2019,550,7.5,5.0,22
EQX1076,Grader,Volvo,140M,2019,350,7.0,5.0,14
EQX1077,Snow_Remover,Caterpillar,SR100,2022,300,6.0,3.0,12
EQX1078,Dump_Truck,Caterpillar,770,2022,900,9.0,3.5,30
EQX1079,Compactor,Caterpillar,CS56B,2023,280,7.0,5.0,12
EQX1080,Grader,Volvo,140M,2020,350,7.0,5.0,14
EQX1081,Bulldozer,Caterpillar,D9,2019,550,7.5,5.0,22
EQX1082,Crane,Tadano,TR250,2019,600,6.0,6.0,15
EQX1083,Compactor,Caterpillar,BW213,2016,280,7.0,5.0,12
EQX1084,Crane,Tadano,LTM1050,2016,600,6.0,6.0,15
EQX1085,Generator,Cummins,XQ2000,2019,500,12.0,2.0,8
EQX1086,Compactor,Caterpillar,BW213,2018,280,7.0,5.0,12
EQX1087,Drill_Rig,Atlas_Copco,SmartRoc,2019,400,8.5,4.0,16
EQX1088,Excavator,Caterpillar,EC210,2019,400,8.0,4.0,18
EQX1089,Excavator,Caterpillar,PC200,2017,400,8.0,4.0,18
EQX1090,Drill_Rig,Atlas_Copco,DX800,2022,400,8.5,4.0,16
EQX1091,Generator,Caterpillar,C220D5,2016,500,12.0,2.0,8
EQX1092,Bulldozer,Caterpillar,D6,2020,550,7.5,5.0,22
EQX1093,Compactor,Caterpillar,BW213,2017,280,7.0,5.0,12
EQX1094,Excavator,Komatsu,PC200,2015,400,8.0,4.0,18
EQX1095,Dump_Truck,Caterpillar,745,2018,900,9.0,3.5,30
EQX1096,Drill_Rig,Sandvik,SmartRoc,2023,400,8.5,4.0,16
EQX1097,Snow_Remover,Caterpillar,PS360,2017,300,6.0,3.0,12
EQX1098,Crane,Tadano,LTM1050,2017,600,6.0,6.0,15
EQX1099,Dump_Truck,Volvo,745,2018,900,9.0,3.5,30
EQX1100,Loader,Caterpillar,L120,2016,450,8.5,4.5,20
EQX1101,Snow_Remover,Caterpillar,SR100,2018,300,6.0,3.0,12
EQX1102,Grader,Volvo,G940,2019,350,7.0,5.0,14
EQX1103,Grader,Caterpillar,140M,2018,350,7.0,5.0,14
EQX1104,Snow_Remover,Vammas,SR100,2016,300,6.0,3.0,12
EQX1105,Loader,Komatsu,L120,2023,450,8.5,4.5,20
EQX1106,Snow_Remover,Vammas,PS360,2016,300,6.0,3.0,12
EQX1107,Loader,Caterpillar,L120,2019,450,8.5,4.5,20
EQX1108,Excavator,Caterpillar,EC210,2020,400,8.0,4.0,18
EQX1109,Dump_Truck,Volvo,745,2023,900,9.0,3.5,30
EQX1110,Bulldozer,Komatsu,D8,2019,550,7.5,5.0,22
EQX1111,Excavator,Volvo,EC210,2015,400,8.0,4.0,18
EQX1112,Generator,Cummins,XQ2000,2021,500,12.0,2.0,8
EQX1113,Bulldozer,Komatsu,D9,2016,550,7.5,5.0,22
EQX1114,Loader,JCB,WA380,2021,450,8.5,4.5,20
EQX1115,Dump_Truck,Volvo,745,2019,900,9.0,3.5,30
EQX1116,Generator,Cummins,C220D5,2021,500,12.0,2.0,8
EQX1117,Drill_Rig,Atlas_Copco,DX800,2024,400,8.5,4.0,16
EQX1118,Compactor,Bomag,BW213,2023,280,7.0,5.0,12
EQX1119,Excavator,Komatsu,PC200,2018,400,8.0,4.0,18
EQX1120,Snow_Remover,Vammas,SR100,2022,300,6.0,3.0,12
EQX1121,Concrete_Mixer,McNeilus,S-Series,2017,250,5.0,4.0,10
EQX1122,Drill_Rig,Sandvik,SmartRoc,2023,400,8.5,4.0,16
EQX1123,Drill_Rig,Atlas_Copco,DX800,2018,400,8.5,4.0,16
EQX1124,Drill_Rig,Atlas_Copco,DX800,2018,400,8.5,4.0,16
EQX1125,Crane,Liebherr,LTM1050,2018,600,6.0,6.0,15
EQX1126,Concrete_Mixer,McNeilus,S-Series,2021,250,5.0,4.0,10
EQX1127,Drill_Rig,Sandvik,SmartRoc,2022,400,8.5,4.0,16
EQX1128,Snow_Remover,Caterpillar,PS360,2015,300,6.0,3.0,12
EQX1129,Bulldozer,Komatsu,D8,2017,550,7.5,5.0,22
EQX1130,Generator,Caterpillar,C220D5,2023,500,12.0,2.0,8
EQX1131,Grader,Caterpillar,G940,2017,350,7.0,5.0,14
EQX1132,Concrete_Mixer,Oshkosh,S-Series,2024,250,5.0,4.0,10
EQX1133,Generator,Caterpillar,XQ2000,2017,500,12.0,2.0,8
EQX1134,Concrete_Mixer,Oshkosh,S-Series,2018,250,5.0,4.0,10
EQX1135,Drill_Rig,Atlas_Copco,SmartRoc,2018,400,8.5,4.0,16
EQX1136,Loader,Komatsu,950,2019,450,8.5,4.5,20
EQX1137,Grader,Volvo,G940,2020,350,7.0,5.0,14
EQX1138,Generator,Cummins,C220D5,2017,500,12.0,2.0,8
EQX1139,Grader,Volvo,G780,2017,350,7.0,5.0,14
EQX1140,Grader,Caterpillar,G940,2021,350,7.0,5.0,14
EQX1141,Dump_Truck,Volvo,A40G,2015,900,9.0,3.5,30
EQX1142,Grader,Volvo,G940,2024,350,7.0,5.0,14
EQX1143,Excavator,Volvo,EC210,2022,400,8.0,4.0,18
EQX1144,Excavator,Komatsu,PC200,2021,400,8.0,4.0,18
EQX1145,Snow_Remover,Caterpillar,SR100,2018,300,6.0,3.0,12
EQX1146,Loader,Komatsu,WA380,2015,450,8.5,4.5,20
EQX1147,Snow_Remover,Vammas,SR100,2017,300,6.0,3.0,12
EQX1148,Concrete_Mixer,McNeilus,Bridgemaster,2021,250,5.0,4.0,10
EQX1149,Compactor,Caterpillar,CS56B,2021,280,7.0,5.0,12
EQX1150,Crane,Tadano,LTM1050,2015,600,6.0,6.0,15
EQX1151,Loader,Komatsu,WA380,2018,450,8.5,4.5,20
EQX1152,Concrete_Mixer,Oshkosh,S-Series,2021,250,5.0,4.0,10
EQX1153,Loader,Komatsu,WA380,2016,450,8.5,4.5,20
