site_id,site_name,city,country,project_type,address,latitude,longitude,manager_id,risk_level,terrain,is_snow_prone,is_mining_region,site_start_date,site_expected_end_date,workforce_count,machinery_slots,status
SITE0001,BHP Olympic Dam Underground Expansion,Kalgoorlie,Australia,Mining,"26 Industrial Rd, Kalgoorlie",-30.728,121.4853,MGR0044,High,Flat,False,True,2021-12-24,2025-06-09,271,38,active
SITE0002,Ganga Expressway Package 2,Chennai,India,Highway,"702 Industrial Rd, Chennai",13.1045,80.257,MGR0063,Low,Urban,False,False,2022-10-05,2024-05-20,567,6,active
SITE0003,Newmont Cripple Creek Extension,Denver,USA,Mining,"924 Industrial Rd, Denver",39.8253,-104.9409,MGR0037,Low,Hilly,True,True,2022-10-24,2024-08-12,26,29,active
SITE0004,Coal India Korba Mine Ext,Mumbai,India,Mining,"578 Industrial Rd, Mumbai",18.9961,72.8691,MGR0020,Medium,Flat,False,False,2022-04-17,2023-06-28,684,35,active
SITE0005,New Bridge over Yarra,Gold Coast,Australia,Bridge,"933 Industrial Rd, Gold Coast",-28.0637,153.4207,MGR0096,Medium,Desert,False,False,2021-11-01,2025-05-09,522,21,active
SITE0006,Adani Carmichael Coal Handling,Kolkata,India,Mining,"901 Industrial Rd, Kolkata",22.5711,88.3198,MGR0024,Low,Hilly,False,False,2021-08-24,2025-08-26,313,16,active
SITE0007,Pacific Highway M1 Extension,Darwin,Australia,Highway,"825 Industrial Rd, Darwin",-12.3787,130.8485,MGR0052,Low,Flat,False,False,2022-11-11,2026-04-13,490,31,active
SITE0008,Cologne Rheinenergie Wind Farm,Bremen,Germany,Wind,"214 Industrial Rd, Bremen",53.0585,8.789,MGR0060,High,Coastal,True,False,2022-07-27,2025-07-18,447,34,active
SITE0009,Nordsee One Offshore Package 3,Leipzig,Germany,Wind,"682 Industrial Rd, Leipzig",51.4206,12.4187,MGR0059,Low,Desert,True,True,2021-12-22,2024-10-19,562,18,active
SITE0010,Ganga Expressway Package 2,Nagpur,India,Highway,"922 Industrial Rd, Nagpur",21.1377,79.0386,MGR0034,Medium,Coastal,False,False,2021-01-26,2024-02-09,403,24,active
SITE0011,NMDC Bailadila Iron Ore Mine Expansion,Chennai,India,Mining,"53 Industrial Rd, Chennai",13.0409,80.2466,MGR0084,Low,Rocky,False,False,2022-01-29,2025-05-22,584,15,active
SITE0012,Stuttgart 21 Feuerbach Tunnel,Bremen,Germany,Rail,"396 Industrial Rd, Bremen",53.1047,8.8395,MGR0068,Medium,Hilly,True,False,2022-11-08,2025-01-03,299,14,active
SITE0013,Amazon HQ2 Arlington Site B,Pittsburgh,USA,Building,"480 Industrial Rd, Pittsburgh",40.4043,-79.9559,MGR0018,Low,Desert,True,True,2021-10-07,2024-07-16,153,36,active
SITE0014,NMDC Bailadila Iron Ore Mine Expansion,Bhubaneswar,India,Mining,"22 Industrial Rd, Bhubaneswar",20.2507,85.7939,MGR0017,Low,Flat,False,True,2022-09-27,2024-03-20,359,10,active
SITE0015,Bharatmala Corridor NH-27,Pune,India,Highway,"861 Industrial Rd, Pune",18.4479,73.7827,MGR0024,Low,Urban,False,False,2022-04-28,2025-01-16,343,33,active
